tags,patterns
deactivate_gesture_recognition,Deactivate gesture recognition
battery_level,Check my laptop's battery level.
deactivate_gesture_recognition,Disable hand gesture input
deactivate_gesture_recognition,Turn off hand movements
battery_level,"Battery status report, please."
youtube,Please launch YouTube.
battery_level,Is your battery about to die?
activate_gesture_recognition,Enable hand gesture input
time,Do you know the current time?
chatbot_goodbye,See you later
battery_level,Can you work without charging?
activate_gesture_recognition,Activate hand signal recognition
date,What's the date today?
cpu_temperature,"What's the current temperature of the processor, Karen?"
stackoverflow,Please navigate to stackoverflow.
battery_level,Battery status update.
google,"Google, show me the search engine"
youtube,Go to the YouTube video platform.
battery_level,Is it running on low battery?
cpu_temperature,"Dear Assistant, check the CPU temperature, Karen"
date,what's the date today
youtube,Start YouTube for me.
battery_level,What's the battery percentage?
deactivate_gesture_recognition,End recognizing hand gestures
activate_gesture_recognition,Commence recognizing gestures
battery_level,Do you have enough power?
chatbot_goodbye,Take it easy
battery_level,"Battery check, please."
battery_level,Battery status?
youtube,"Navigate to YouTube, please."
battery_level,How much battery do I have left?
google,"Google, enter the internet"
time,Can you inform me about the time?
time,I'd appreciate it if you could tell me the time
date,Inform me of today's date
deactivate_gesture_recognition,Deactivate motion tracking
time,Please share the time with me
activate_gesture_recognition,Activate hand signal control
activate_gesture_recognition,Turn on hand gesture recognition
chatbot_goodbye,Take care of yourself
cpu_temperature,"Is the CPU running hot, Karen?"
battery_level,Tell me if you're running out of battery.
date,Let me know today's date
deactivate_gesture_recognition,Turn off hand gesture recognition
cpu_temperature,"Karen, what's the heat level of my CPU?"
date,What's today's date and the current tim?
chatbot_goodbye,Until later
activate_gesture_recognition,Activate gesture interface
date,Tell me the date right at this moment
deactivate_gesture_recognition,End recognizing gestures
cpu_temperature,"Give me the CPU's temperature, Karen"
stackoverflow,Show me stackoverflow.
youtube,"Show me YouTube, chatbot."
